Town,Latitude,Longitude
County Durham,54.6836384,-1.8201775
Darlington,54.52361,-1.559458
Hartlepool,54.691745,-1.212926
Stockton-on-Tees,54.5704551,-1.3289821
Middlesbrough,54.574227,-1.234956
Redcar and Cleveland,54.5393369,-1.0310219
Northumberland,55.2082542,-2.0784138
North Yorkshire,54.25035949999999,-1.4708553
York,53.9614205,-1.0739108
Gateshead,54.95268,-1.603411
Newcastle upon Tyne,54.978252,-1.61778
North Tyneside,55.0182399,-1.4858436
South Tyneside,54.9636693,-1.4418634
Sunderland,54.9044161,-1.3811746
Cheshire East,53.1530116,-2.2898096
Cheshire West and Chester,53.2302974,-2.7151117
Halton,53.33172099999999,-2.695822
Warrington,53.39203999999999,-2.6023453
Westmorland and Furness,54.4921936,-2.6788107
Allerdale,54.6990638,-3.1994197
Barrow-in-Furness,54.108967,-3.218894
Carlisle,54.892473,-2.932931
Copeland,54.4305545,-3.389242
Eden,54.6673412,-2.6962179
Bolton,53.57686469999999,-2.4282192
Bury,53.5933498,-2.2966054
Manchester,53.4807593,-2.2426305
Oldham,53.5409298,-2.1113659
Rochdale,53.6097136,-2.1561
Salford,53.4872927,-2.2900071
Stockport,53.41063159999999,-2.1575332
Tameside,53.4872256,-2.0973854
Trafford,53.4215129,-2.3517259
Wigan,53.5450645,-2.6325074
Blackburn with Darwen,53.68985960000001,-2.4678625
Blackpool,53.81674229999999,-3.0370485
Burnley,53.7892877,-2.2405035
Chorley,53.653511,-2.632596
Fylde,53.75659719999999,-3.0213802
Hyndburn,53.7675645,-2.3816682
Lancaster,54.0449072,-2.799346700000001
Pendle,53.86945619999999,-2.1639879
Preston,53.75915759999999,-2.7046445
Ribble Valley,53.9289626,-2.4627718
Rossendale,53.703471,-2.2007759
South Ribble,53.7271964,-2.6907306
West Lancashire,53.5728525,-2.8558128
Wyre,59.124292,-2.971426
Knowsley,53.454594,-2.852907
Liverpool,53.4083714,-2.9915726
Sefton,53.5034449,-2.970359
St. Helens,53.456307,-2.737095
Wirral,53.3727181,-3.073754
East Riding of Yorkshire,53.8215889,-0.7189977
"Kingston upon Hull, City of",53.7688918,-0.3703967
North East Lincolnshire,53.5418558,-0.1263736
North Lincolnshire,53.60555919999999,-0.5596582
Barnsley,53.55263,-1.479726
Doncaster,53.5227501,-1.132336
Rotherham,53.4326035,-1.3635009
Sheffield,53.38112899999999,-1.470085
Bradford,53.7937996,-1.7563583
Calderdale,53.7247845,-1.8658357
Kirklees,53.5933432,-1.8009509
Leeds,53.8007554,-1.5490774
Wakefield,53.6848162,-1.5038596
Derby,52.9225301,-1.4746186
Leicester,52.6368778,-1.1397592
North Northamptonshire,52.4022353,-0.6337493
Nottingham,52.9540223,-1.1549892
Rutland,52.6583014,-0.639643
West Northamptonshire,52.27137700000001,-1.0721487
Amber Valley,53.0432545,-1.4041266
Bolsover,53.231044,-1.2897209
Chesterfield,53.2334883,-1.4238013
Derbyshire Dales,53.1407037,-1.5466361
Erewash,52.931125,-1.3255597
High Peak,53.3325341,-1.8876721
North East Derbyshire,53.2003512,-1.4338363
South Derbyshire,52.8429447,-1.5237491
Blaby,52.5707761,-1.1656497
Charnwood,52.7407093,-1.1451461
Harborough,52.475769,-0.9215169999999999
Hinckley and Bosworth,52.6302593,-1.4115209
Melton,52.82827839999999,-0.8432685
North West Leicestershire,52.7466112,-1.4735321
Oadby and Wigston,52.5801686,-1.0966272
Boston,52.97893999999999,-0.026577
East Lindsey,53.2079074,-0.1146108
Lincoln,53.2294565,-0.5426827
North Kesteven,53.0880498,-0.4489081999999999
South Holland,52.7872847,-0.1558106
South Kesteven,52.8300224,-0.5440818
West Lindsey,53.3465722,-0.4531518
Ashfield,53.1009565,-1.269586
Bassetlaw,53.3186178,-0.9398502999999999
Broxtowe,52.9854591,-1.264754
Gedling,52.97345499999999,-1.0800559
Mansfield,53.147195,-1.198674
Newark and Sherwood,53.08509429999999,-0.952234
Rushcliffe,52.8912108,-1.0209505
"Herefordshire, County of",52.0765164,-2.6544182
Shropshire,52.7063657,-2.7417849
Stoke-on-Trent,53.0033369,-2.1827408
Telford and Wrekin,52.7409916,-2.4868586
Cannock Chase,52.7183027,-1.9858812
East Staffordshire,52.838654,-1.8285789
Lichfield,52.681602,-1.831672
Newcastle-under-Lyme,53.013208,-2.2273002
South Staffordshire,52.6615371,-2.1727483
Stafford,52.8067775,-2.1219612
Staffordshire Moorlands,53.10702999999999,-2.0208373
Tamworth,52.633584,-1.691032
North Warwickshire,52.5769282,-1.5451399
Nuneaton and Bedworth,52.52249,-1.4723491
Rugby,52.370878,-1.265032
Stratford-on-Avon,52.1927272,-1.7064689
Warwick,52.28223209999999,-1.5848342
Birmingham,52.4822694,-1.8900078
Coventry,52.4128163,-1.5089521
Dudley,52.5106724,-2.0865972
Sandwell,52.5361674,-2.010793
Solihull,52.411811,-1.77761
Walsall,52.5866367,-1.984534
Wolverhampton,52.5868159,-2.1256587
Bromsgrove,52.335589,-2.061906
Malvern Hills,52.1893836,-2.3369784
Redditch,52.30897,-1.940936
Worcester,52.1941389,-2.2190523
Wychavon,52.1525178,-2.0330954
Wyre Forest,52.4038046,-2.2537632
Bedford,52.1386603,-0.4667687
Central Bedfordshire,51.97800609999999,-0.5275981
Luton,51.8786707,-0.4200255
Cambridge,52.1950788,0.1312729
East Cambridgeshire,52.4036809,0.2428121
Fenland,52.54748360000001,0.0873357
Huntingdonshire,52.3304866,-0.1865266
Peterborough,52.57031689999999,-0.2407996999999999
South Cambridgeshire,52.1487594,0.0480241
Southend-on-Sea,51.5459269,0.7077123
Thurrock,51.4934557,0.3529197
Basildon,51.57608399999999,0.488736
Braintree,51.880087,0.5509269
Brentwood,51.620475,0.3071749
Castle Point,51.5694189,0.5952596
Chelmsford,51.7355868,0.4685497
Colchester,51.895927,0.8918740000000001
Epping Forest,51.6570766,0.0412824
Harlow,51.767787,0.087806
Maldon,51.73180499999999,0.6714479999999999
Rochford,51.582071,0.706515
Tendring,51.8748081,1.1145037
Uttlesford,52.022761,0.2467333
Broxbourne,51.74347299999999,-0.021151
Dacorum,51.74563699999999,-0.4993067999999999
East Hertfordshire,51.79469719999999,-0.078146
Hertsmere,51.6619501,-0.3075666
North Hertfordshire,51.9578206,-0.2149955
St Albans,51.7508784,-0.3397723
Stevenage,51.9032309,-0.1851995
Three Rivers,51.6389369,-0.4744326
Watford,51.66112829999999,-0.3970199
Welwyn Hatfield,51.7465017,-0.2133693
Breckland,52.6737879,0.9476973999999999
Broadland,52.6384881,1.3670414
Great Yarmouth,52.598233,1.728047
King's Lynn and West Norfolk,52.754317,0.4488796
North Norfolk,52.9124395,1.0469133
Norwich,52.6292567,1.2978802
South Norfolk,52.4828179,1.2294887
Babergh,52.0603616,0.9175876999999999
East Suffolk,52.27137700000001,1.0721487
Ipswich,52.0596687,1.1480867
Mid Suffolk,52.27137700000001,1.0721487
West Suffolk,52.27137700000001,1.0721487
Camden,51.5390261,-0.1425516
City of London,51.5134068,-0.0890441
Hackney,51.5436387,-0.0553621
Hammersmith and Fulham,51.5000049,-0.2378535
Haringey,51.59052699999999,-0.1033379
Islington,51.538621,-0.1028346
Kensington and Chelsea,51.4990805,-0.1938253
Lambeth,51.4935082,-0.1178424
Lewisham,51.46115090000001,-0.0073177
Newham,51.5259127,0.0293731
Southwark,51.502781,-0.087738
Tower Hamlets,51.5251066,-0.0347399
Wandsworth,51.45837299999999,-0.1891356
Westminster,51.4974948,-0.1356583
Barking and Dagenham,51.5540666,0.134017
Barnet,51.6569225,-0.1949252
Bexley,51.439933,0.154327
Brent,51.5570677,-0.2859694
Bromley,51.4063204,0.0186804
Croydon,51.3769529,-0.0956895
Ealing,51.5132537,-0.3043136
Enfield,51.6522994,-0.0807119
Greenwich,51.4933675,0.0098214
Harrow,51.5805011,-0.3421192
Havering,51.577924,0.2120829
Hillingdon,51.5351832,-0.4481378
Hounslow,51.4704304,-0.3632267
Kingston upon Thames,51.41233,-0.300689
Merton,51.39479559999999,-0.1942768
Redbridge,51.5748179,0.0507539
Richmond upon Thames,51.46132619999999,-0.3035268
Sutton,51.3614279,-0.193961
Waltham Forest,51.5901724,-0.0173754
Isle of Wight,50.69384789999999,-1.304734
West Berkshire,51.4308255,-1.1444927
Windsor and Maidenhead,51.5225579,-0.7243073
Wokingham,51.410457,-0.833861
Reading,51.45512009999999,-0.9787475
Slough,51.51053839999999,-0.5950405999999999
Bracknell Forest,51.4153828,-0.7536495
Aylesbury Vale,51.8176377,-0.8192258
Wycombe,51.64465819999999,-0.8049552999999999
Chiltern,51.6606074,-0.6409481
South Bucks,51.6023284,-0.6319694
Milton Keynes,52.0406224,-0.7594171
Brighton and Hove,50.83516050000001,-0.1261028
Eastbourne,50.768035,0.290472
Hastings,50.854259,0.573453
Lewes,50.87387200000001,0.00878
Rother,50.969873,0.4159547
Wealden,50.9703846,0.2306394
Basingstoke and Deane,51.2662711,-1.0920823
East Hampshire,51.1187851,-0.8749889999999999
Eastleigh,50.967182,-1.374688
Fareham,50.8548464,-1.1865868
Gosport,50.800482,-1.1409959
Hart,51.3016959,-0.8929571000000001
Havant,50.8518324,-0.9847131999999998
New Forest,50.8758752,-1.6327718
Portsmouth,50.8197675,-1.0879769
Rushmoor,51.2711826,-0.7618473
Southampton,50.9105468,-1.4049018
Test Valley,51.1273626,-1.5518375
Winchester,51.059771,-1.310142
Ashford,51.14510070000001,0.8739631
Canterbury,51.2770331,1.0837855
Dartford,51.44621,0.216872
Dover,51.1278758,1.3134027
Folkestone and Hythe,51.0832153,1.1706631
Gravesham,51.44188399999999,0.370759
Maidstone,51.2704083,0.5227244999999999
Medway,51.450714,0.5413719
Sevenoaks,51.27241000000001,0.190898
Swale,51.323167,0.8224796
Thanet,51.3602516,1.3484663
Tonbridge and Malling,51.2836053,0.350279
Tunbridge Wells,51.132377,0.263695
Cherwell,51.9000084,-1.1531788
Oxford,51.7520209,-1.2577263
South Oxfordshire,51.6361801,-1.0961011
Vale of White Horse,51.6319428,-1.4829103
West Oxfordshire,51.8005816,-1.4919143
Elmbridge,51.3673135,-0.3983625
Epsom and Ewell,51.3362231,-0.2688232
Guildford,51.23622,-0.570409
Mole Valley,51.234566,-0.3264952
Reigate and Banstead,51.3058308,-0.2193665
Runnymede,51.40871929999999,-0.5405584999999999
Spelthorne,51.4195668,-0.4580861
Surrey Heath,51.3346227,-0.6689303000000001
Tandridge,51.242484,-0.034156
Waverley,51.1853519,-0.6097648
Woking,51.316774,-0.5600349
Adur,50.8348175,-0.3101263
Arun,50.82341,-0.5756878999999999
Chichester,50.83761000000001,-0.774936
Crawley,51.1091401,-0.1872275
Horsham,51.062883,-0.325858
Mid Sussex,51.0331579,-0.1154553
Worthing,50.81787,-0.372882
"Bristol, City of",51.47552049999999,-2.6100556
Cornwall,50.5036299,-4.6524982
Dorset,50.7390661,-2.3382346
East Devon,50.75859699999999,-3.2591051
Exeter,50.72603669999999,-3.5274889
Mid Devon,50.9030143,-3.4912922
North Devon,51.0729874,-3.8918711
Plymouth,50.3754565,-4.1426565
South Hams,50.43348779999999,-3.6851106
Teignbridge,50.5247502,-3.5932822
Torridge,50.89284780000001,-4.2654808
West Devon,50.651337,-4.0309135
Torbay,50.4619209,-3.525315
Cheltenham,51.8993855,-2.0782533
Cotswold,51.794968,-1.8838937
Forest of Dean,51.7999835,-2.5519169
Gloucester,51.8642449,-2.238156
South Gloucestershire,51.531456,-2.4547158
Stroud,51.745734,-2.217758
Tewkesbury,51.99235789999999,-2.1576231
Bath and North East Somerset,51.36362930000001,-2.4399987
North Somerset,51.4409659,-2.7426528
Somerset,51.0634565,-2.7546704
"Bournemouth, Christchurch and Poole",50.7220163,-1.866724
Swindon,51.5581438,-1.7798258
Wiltshire,51.2462714,-1.9922127
Isle of Anglesey,53.265325,-4.429140299999999
Gwynedd,52.8483607,-4.042521799999999
Conwy,53.282872,-3.82948
Denbighshire,53.12830890000001,-3.3371083
Flintshire,53.197787,-3.1599793
Wrexham,53.04304,-2.992494
Powys,52.1430868,-3.3736821
Ceredigion,52.3815988,-3.9224817
Pembrokeshire,51.8757077,-4.939193299999999
Carmarthenshire,51.867096,-4.0557629
Swansea,51.62144,-3.943645999999999
Neath Port Talbot,51.686998,-3.7491778
Bridgend,51.504286,-3.576945
Vale of Glamorgan,51.4443584,-3.4151166
Cardiff,51.483707,-3.1680962
Rhondda Cynon Taf,51.6744979,-3.4687081
Merthyr Tydfil,51.74872999999999,-3.381646
Caerphilly,51.578829,-3.218134
Blaenau Gwent,51.7875779,-3.2043931
Torfaen,51.6652667,-3.0397539
Monmouthshire,51.774928,-2.8759245
Newport,51.584151,-2.997664
